Biodiesel feedstock,Sample Type,Density(g/ml at RT),Viscosity(cP at RT),molar ratio(unit oil),catalyst amount(wt%),Reaction temp©,Reaction Time(hr),catalysts,catalysts type,biodiesel yield(%)
microalgal oil,algae,0.935,25,10,5,100,1,sulphonated biochar,heterogeneous acid,98.2
silybummarianum l.seed oil,edible oil,0.925,75,15,6,68,3,polythene waste derived sulphonated carbon catalyst,heterogeneous acid,90
oleic acid,edible oil,0.895,4.85,10,10,67,4,sulphonated coal-based catalyst,heterogeneous acid,97.29
waste cooking oil,waste cooking oil,0.92,67,10,10,140,0.25,sulfonic biochar,heterogeneous acid,90
waste vegetable oil,waste cooking oil,0.92,125,16.8,0.2,220,4.5,carbon-based solid catalysts,heterogeneous acid,94.8
soybean soap stocks,non edible oil,0.97,400,9,7,70,5,lignin-derived carbonaceous catalyst,heterogeneous acid,97
calophyllum inophyllum,non edible oil,0.925,60,0.076,1.1,180,5,sulphonated carbon catalyst,heterogeneous acid,99
cotton seed oil,edible oil,0.925,57,18.2,0.2,260,3,carbonized vegetable oil asphalt catalyst,heterogeneous acid,89
waste cooking oil,waste cooking oil,0.92,67,30,3,80,6,carbonized supported ferric sulphate,heterogeneous acid,98.4
acetic acid,edible oil,1.04,1.22,20,10,90,10,sulphonated porous carbon catalysts,heterogeneous acid,94
palmitic and stearic acids,edible oil,0.9,23,6,5,57,6,biochar derived sulphonated AC,heterogeneous acid,97
palmitic acid,edible oil,0.88,60,1.33,3,64,5,sulphonated single-walled carbon nanohorns,heterogeneous acid,93
oleic acid,edible oil,0.895,4.85,20,3,64,10,de-oiled seed waste cake derived catalyst,heterogeneous acid,97
rapeseed oil,edible oil,0.92,34,20,10,65,7,4-sulfopheny activated carbon,heterogeneous acid,95
levulinic acid,non edible oil,1.14,2.8,7,2,78,4,arylsulfonic carbon spheres,heterogeneous acid,99.9
jatropha oil,non edible oil,0.92,37,1,0.1,200,1,carbonaceous ti-incorporated SBA-15,heterogeneous acid,86.1
oleic acid,edible oil,0.895,4.85,12,5,80,5,lignin derived carbon catalyst,heterogeneous acid,95.5
palm oil,edible oil,0.9,60,20,10,100,14,sulphonated graphene catalyst,heterogeneous acid,98
waste oil,waste cooking oil,0.92,67,20.9,0.3,200,5,asphalt derived catalyst,heterogeneous acid,97.5
microalgal oil,algae,0.935,25,,5,80,12,microalgae residue based carbon catalyst,heterogeneous acid,98
oleic acid,edible oil,0.895,4.85,10,10,80,8,sulphonated carbon catalysts prepared from sugar,heterogeneous acid,95
pongamia glabra oil,non edible oil,0.94,45,45,20,160,4,SO3H-carbon catalyst derived from glycerol,heterogeneous acid,99
waste fish oil,animal fat,0.92,90,14.85,11.04,55,1,sulphonated activated carbon,heterogeneous acid,88
acid oil,edible oil,0.95,225,18,0.5,66,3,sulphonated mesoporous carbon catalysts,heterogeneous acid,94.6
canola oil,edible oil,0.92,31,60,7.5,65,24,de-oiled canola meal derived catalyst,heterogeneous acid,93.8
palm fatty acid distillate,non edible oil,0.93,200,20,2,170,3,sulphonted multi-walled carbon nanotubes,heterogeneous acid,84.9
palm fatty acid distillate,non edible oil,0.93,200,12,10,60,2,coconut shell derived AC,heterogeneous acid,91
palm fatty acid distillate,non edible oil,0.93,200,10,2,75,3,sulphonated starch solid,heterogeneous acid,94.6
triolein,edible oil,0.913,54.6,10,5,80,12,B-cyclodextrin derived carbon catalyst,heterogeneous acid,90
oleic acid,edible oil,0.895,4.85,20,2,70,2,ordered mesoporous carbon,heterogeneous acid,85
jatropha oil,non edible oil,0.92,37,18,7.5,180,7.5,magnetic carbonaceous acids derived from hydrolysates of jatropha hulls,heterogeneous acid,95.9
waste sunflower oil,waste cooking oil,0.9,250,2,5,65,1.5,heterocarbon catalyst,heterogeneous acid,82
mesua ferrera oil,edible oil,0.92,50,6,10,55,2,sulphonated carbo catalyst from waste residue,heterogeneous acid,95.57
palmitic acid,edible oil,0.88,60,5,20,65,2,SO3-Na-Carbon catalyst from glycerol,heterogeneous base,99
bitter almond oil,non edible oil,0.92,7,9,2.5,65,2.5,potassium acetate supported on activated carbon,heterogeneous base,93.21
waste cooking oil,waste cooking oil,0.92,67,15,7.5,65,6.5,CaO derived from chicken manure,heterogeneous base,90.8
rubber seed oil,non edible oil,0.93,150,9,4.5,60,1,AC supported Fe catalyst,heterogeneous base,97.5
tricaprylin,edible oil,0.946,10,1,0.12,64,5,carbon nanohorns dispersed with calcium ferrite,heterogeneous base,100
waste date pits oil,waste cooking oil,0.905,32.35,9,6,65,1,biomass derived catalyst,heterogeneous base,91.6
rapeseed oil,edible oil,0.92,34,12,20,200,8,gasified straw slag catalyst,heterogeneous base,95
waste cooking oil,waste cooking oil,0.92,67,8.85,3,175,1,AC supported potassium fluoride,heterogeneous base,83
palm oil,edible oil,0.9,60,24,30.3,64.1,1,AC supported potassium hydroxide,heterogeneous base,98.03
rubber seed oil,non edible oil,0.93,150,9,9,65,0.666666667,CaO-based waste coral fragment,heterogeneous base,97
rubber seed oil,edible oil,0.93,150,0.4,6,55,1.5,albizia lebbeck pods derived catalyst,heterogeneous base,97.2
palm oil,edible oil,0.9,60,12,5,65,90,river snail shells-derived catalyst,heterogeneous base,98.5
millettia pinnata oil,non edible oil,0.924,37,8,2.5,65,2,crab shell derived catalyst,heterogeneous base,94
ulva fasciata,algae,,,9,2,90,6,catalyst derived from industrial waste,heterogeneous base,88
soybean oil,edible oil,0.92,60,6.28,,220,10,carbon-based nanostructured catalyst,heterogeneous base,85
waste cooking oil,waste cooking oil,0.92,67,12,5,80,0.666666667,coconut shell derived AC supported catalyst,heterogeneous base,91.3
canola oil,edible oil,0.92,31,6,0.36,60,1.5,glycerol derived potassium alkoxide,heterogeneous base,95
palm oil,edible oil,0.9,60,15,5,65,6,CaO derived from waste venus clam,heterogeneous base,97
rubber seed oil,non edible oil,0.93,150,15,3.5,60,1,KOH supported on AC,heterogeneous base,89.3
rubber seed oil,non edible oil,0.93,150,15,3.5,55,1,KOH supported on AC,heterogeneous base,89.81
rubber seed oil,non edible oil,0.93,150,12,5,55,1,Fe supported on AC,heterogeneous base,96.1
jatropha oil,non edible oil,0.92,37,6,0.004,65,48,NaOH,heterogeneous base,95
jatropha oil,non edible oil,0.92,37,9,1,65,3,NaOH,heterogeneous base,99.9
jatropha oil,non edible oil,0.92,37,6,1,65,0.002833333,KOH,heterogeneous base,90
jatropha oil,non edible oil,0.92,37,6,0.6,60,1,NaOH,heterogeneous base,100
jatropha oil,non edible oil,0.92,37,9,6,70,3,CaO,heterogeneous base,96.1
jatropha oil,non edible oil,0.92,37,16,3,65,3,Na2ZrO3,heterogeneous base,99.9
jatropha oil,non edible oil,0.92,37,15,2,150,4,Bi2O3-La2O3,heterogeneous base,93
jatropha oil,non edible oil,0.92,37,24,4,65,6,CaO-La2O3,heterogeneous base,86.5
jatropha oil,non edible oil,0.92,37,40,7,160,4,Zn8-Fe-C400,heterogeneous base,100
jatropha oil,non edible oil,0.92,37,12,2.5,110,3,sulphated Zr-Al2O3,heterogeneous base,96
jatropha oil,non edible oil,0.92,37,,5,65,8,Na2ZrO3,heterogeneous base,99.9
jatropha oil,non edible oil,0.92,37,9,7,65,1.333333333,Na2Sio3-Ni/JRC,heterogeneous base,96.7
jatropha oil,non edible oil,0.92,37,,3,250,4,metal salt Co(NO3)2,heterogeneous base,89
jatropha oil,non edible oil,0.92,37,9,12,120,4,CaSO4/Fe2O3-SiO2,heterogeneous base,94
jatropha oil,non edible oil,0.92,37,9,5,65,2,Sr2+-CaO/MgO,heterogeneous base,99.6
jatropha oil,non edible oil,0.92,37,15,4,65,6,CaMgO & CaZnO,heterogeneous base,80
jatropha oil,non edible oil,0.92,37,15,5,65,6,CaO-NiO and CaO-Nd2O3,heterogeneous base,80
jatropha oil,non edible oil,0.92,37,15,15,55,1,Fe-Co-Ni-MgO,heterogeneous base,97.9
jatropha oil,non edible oil,0.92,37,4,,55,48,enterobacter aerogenes,heterogeneous base,68
soybean oil,edible oil,0.92,60,30,1,65,0.25,Cs-Na2ZrO3 basic heterogeneous,heterogeneous acid,98.8
waste cotton seed oil,waste cooking oil,0.919,44,30,5,65,3.4,Ti/SiO2 nanoflowers,heterogeneous acid,98
macaw palm oil,edible oil,0.88,5.9,9,2,65,5,strontium and nickel,heterogeneous acid,97
canola oil,edible oil,0.92,31,24,5,65,3,Li/TiO2,heterogeneous acid,98
sunflower oil,edible oil,0.92,60,9,3,65,3,CaO-based/Au nanoparticles,heterogeneous acid,95
soybean oil,edible oil,0.92,60,4.6,15,70,4,CaO-K2O,heterogeneous acid,99
cooking oil,edible oil,0.92,60,12,5,65,2.2,Zinc-doped calcium oxide,heterogeneous acid,98
palm oil,edible oil,0.9,60,9,5,65,0.5,calcium oxide functionalized with strontium,heterogeneous acid,98.31
waste cooking oil,waste cooking oil,0.92,67,10,8,90,2,FeCl3-modified resin,heterogeneous acid,92
castor oil,non edible oil,0.96,450,12,5,60,5,Si-MMT-pH-SO3H,heterogeneous acid,89.8
various oils,non edible oil,0.95,50,12,2.5,65,0.5,sodium silicate,heterogeneous acid,97
rubber seed oil,non edible oil,0.93,150,9,9,65,0.666666667,sodium metasilicate,heterogeneous acid,97
palm oil,edible oil,0.9,60,12,9,60,2,CaO,heterogeneous base,90
scenedesmus obliquus lipid,algae,0.925,50,12,15,100,3,Tungstated zirconia,heterogeneous base,94.58
canola oil,edible oil,0.92,31,7.6,5.3,60,2.5,calcined dolomite,heterogeneous base,96.6
castor oil,non edible oil,0.96,450,8,11,55,1,Ni doped ZnO nanocatalyst,heterogeneous base,95.2
waste cooking oil,waste cooking oil,0.92,67,10,3,90,2.5,magnetic SO4/Fe-Al-TiO2 solid acid,heterogeneous base,96
waste cotton seed oil,waste cooking oil,0.919,44,40,10,65,4,mesoporous CeO2/Li/SBA-15,heterogeneous base,98
palm oil,edible oil,0.9,60,8,5,65,2.5,30Ca/APB-700,heterogeneous base,93.4
waste cooking oil,waste cooking oil,0.92,67,30,5,65,4,tungsten supported TiO2/SiO2,heterogeneous base,98
soybean oil,edible oil,0.92,60,15,1,80,4,calcinated form of waste tucuma peels,heterogeneous base,97.3
soybean oil,edible oil,0.92,60,36,8,65,2,magnetic LiFe5O8-LiFeO2,heterogeneous base,96.5
oleic acid,edible oil,0.895,4.85,9,0.75,62,5,SO42-/La3+/C,heterogeneous base,98.3
soybean oil,edible oil,0.92,60,36,6,160,3,Fe3O4-SiO2-CPTMS-amine,heterogeneous base,96
soybean oil,edible oil,0.92,60,9,6,65,3,calcined marble slurry and hydroxyapatite,heterogeneous base,94
date seed oil,edible oil,0.92,60,12,5,65,1.5,egg shell derived catalyst,heterogeneous base,93.5
waste kernel oil,waste cooking oil,0.9,20,15,3,90,4,Mn-MgO-ZrO2,heterogeneous base,96.4
sesame oil,edible oil,0.9275,23,6.7,1.8,31.9,0.671666667,Ba(OH)2,heterogeneous base,98.6
palm oil,edible oil,0.9,60,36,8,,1,CaO,heterogeneous base,92.7
jatropha oil,non edible oil,0.92,37,11,5.5,64,,CaO,heterogeneous base,95
jatropha crude oil,non edible oil,0.92,200,20,20,60,0.666666667,activated carbon supported heteropolyacid,heterogeneous base,87.3
soybean oil,edible oil,0.92,60,7,7,54,1.333333333,magnetic NaSiO3-Fe3O4/C,heterogeneous base,97.9
soybean oil,edible oil,0.92,60,10,6,62,1,CaO,heterogeneous base,90
canola oil,edible oil,0.92,31,7.5,5.3,60,2.5,CaO,heterogeneous base,99.4
sunflower oil,edible oil,0.92,60,4,1.5,75,2,microcrystalline CaO,heterogeneous base,93
rapeseed oil,edible oil,0.92,34,4,1.5,75,2,microcrystalline CaO,heterogeneous base,90
soybean oil,edible oil,0.92,60,4,1.5,75,2,microcrystalline CaO,heterogeneous base,89
palm oil,edible oil,0.9,60,14,2.5,65,2.5,Nano CaO,heterogeneous base,94
palm oil,edible oil,0.9,60,14,2.5,65,2.5,Bulk CaO,heterogeneous base,90
sunflower oil,edible oil,0.92,60,4,1.5,75,2,commercial Cao,heterogeneous base,76
rapeseed oil,edible oil,0.92,34,4,1.5,75,2,commercial Cao,heterogeneous base,78
soybean oil,edible oil,0.92,60,4,1.5,75,2,commercial Cao,heterogeneous base,77
zanthoxyl umbungeanum seed oil,edible oil,0.92,22.6,11.69,2.52,65,2.45,CaO,heterogeneous base,96
waste frying oil,waste cooking oil,0.94,100,12,5,60,4,commercial Cao,heterogeneous base,87
neat semi-refined rape oil,edible oil,0.92,60,12,5,60,4,commercial Cao,heterogeneous base,97
refined sunflower oil,edible oil,0.92,60,12,2,60,2,commercial Cao,heterogeneous base,99
sunflower oil,edible oil,0.92,60,14,0.2,50,3,CaO,heterogeneous base,90
soybean oil,edible oil,0.92,60,27,1.25,24,12,commerical nano-cystalline CaO,heterogeneous base,99
soybean oil,edible oil,0.92,60,12,8,65,3,CaO,heterogeneous base,95
soybean oil,edible oil,0.92,60,12,0.85,,1,calcined CaCO3,heterogeneous base,93
rapeseed oil,edible oil,0.92,34,10.8,0.7,60,3,CaO,heterogeneous base,90
rapeseed oil,edible oil,0.92,34,30,0.85,65,2.5,CaO,heterogeneous base,92
sunflower oil,edible oil,0.92,60,13,1,60,1.5,CaO,heterogeneous base,94
karanja oil,non edible oil,0.945,45,8,2.5,65,2.5,chicken eggshells,heterogeneous base,95
palm oil,edible oil,0.9,60,15,7,60,1,commerical calcite,heterogeneous base,95.7
sunflower oil,edible oil,0.92,60,6,7,65,,commerical CaO,heterogeneous base,100
ethyl butyrate,non edible oil,0.875,0.36,4,,60,3,MgO/CaO,heterogeneous base,60
glyceryl tributyrate,edible oil,1.032,10,310,27.7,60,3,Li/CaO,heterogeneous base,100
food grade sunflower oil,edible oil,0.92,60,14,0.2,60,1.5,Li/CaO,heterogeneous base,90
chinese tallow seed oil,non edible oil,0.92,30,12,4,65,2.5,KF/CaO,heterogeneous base,96.8
palm oil,edible oil,0.9,60,12,6,65,5,CaO/y-Al2O3,heterogeneous base,98
soybean oil,edible oil,0.92,60,9,3,150,,CaO/Al2O3,heterogeneous base,90
palm oil,edible oil,0.9,60,65,10,60,3,CaO/Al2O3,heterogeneous base,94.3
crude palm oil,edible oil,0.8875,77.19,12,6,60,3,CaO/palm oil mill fly ash,heterogeneous base,75.73
soybean oil,edible oil,0.92,60,16,5,60,8,CaO/mesoporous silica,heterogeneous base,95.2
sunflower oil,edible oil,0.92,60,12,1,60,5,CaO/SBA-15,heterogeneous base,95
refined rapeseed oil,edible oil,0.92,45,18,2,64.5,6,CaO/MgO,heterogeneous base,92
rapeseed oil,edible oil,0.92,34,12,5,60,2,Magnetic CaO hollow fiber,heterogeneous base,95.7
soybean oil,edible oil,0.92,60,4,8,65,6,CaO/SnO2,heterogeneous base,89.3
jatropha curcas oil,non edible oil,0.92,37,24,4,65,6,CaO-La2O3,heterogeneous base,86.51
pistacia chinensis oil,non edible oil,0.918,60,30,9,100,3,CaO-CeO2,heterogeneous base,93
palm oil,edible oil,0.9,60,20,5,85,3,CaO-CeO2,heterogeneous base,95
waste cooking oil,waste cooking oil,0.92,67,30,10,65,2,CaO-ZrO2,heterogeneous base,92.1
palm oil,edible oil,0.9,60,12,2.5,150,5,Ca3.5xZr0.5yAlxO3,heterogeneous base,87
degummed soybean oil,edible oil,0.92,55,175,20,64.7,4,CSMO,heterogeneous base,88
edible sunflower oil,edible oil,0.92,60,10,2,60,2,CaO-ZnO,heterogeneous base,92
jatropha curcas oil,non edible oil,0.92,37,15,4,65,6,CaMgO and CaZnO,heterogeneous base,83
palm kernel oil,edible oil,0.85,225,30,6,60,3,dolomite,heterogeneous base,98.6
rapeseed oil,edible oil,0.92,34,15,6,65,3,Ca12Al14O33,heterogeneous base,94.34
sunflower oil,edible oil,0.92,60,12,1,60,3,hydrocalumite,heterogeneous base,98
soybean oil,edible oil,0.92,60,9,3,150,6,Ca(C3H7O3)2/n-Al2O3,heterogeneous base,82
soybean oil,edible oil,0.92,60,12,2.5,,2,Ca(C3H7O3)2,heterogeneous base,88
soybean oil,edible oil,0.92,60,12,3.5,,1,Ca(C3H7O3)2,heterogeneous base,70
sunflower oil,edible oil,0.92,60,14,0.7,60,3,Ca(C3H7O3)2,heterogeneous base,90
refined sunflower oil,edible oil,0.92,60,12,2,60,6,Ca(C3H7O3)2-CaO,heterogeneous base,99
refined sunflower oil,edible oil,0.92,60,12,2,60,8,Ca(C3H7O3)2-Ca(OH)2,heterogeneous base,95
soybean oil,edible oil,0.92,60,12,2.5,,1,Ca(OCH3)2,heterogeneous base,25
soybean oil,edible oil,0.92,60,9,1,65,1.5,Ca(OCH3)2,heterogeneous base,90
tributyrin,edible oil,1.032,3.3,6,2,60,4,Ca(OCH3)2,heterogeneous base,90
refined sunflower oil,edible oil,0.92,60,7.5,4,65,2,Ca(OCH3)2,heterogeneous base,98
sunflower oil,edible oil,0.92,60,6,5,60,2,Ca(OCH3)2,heterogeneous base,97
palm oil,edible oil,0.9,60,12,1.5,65,2,CaO from eggshells,heterogeneous base,98
sunflower oil,edible oil,0.92,60,6,1,80,5.5,CaO,heterogeneous base,91
rapeseed oil,edible oil,0.92,34,6,1,65,3,KNO3/CaO,heterogeneous base,98
jatropha curcas oil,edible oil,0.92,37,15,2,70,1.3,CaO/Fe3O4,heterogeneous base,95
soybean oil,edible oil,0.92,60,12,9,60,2,Li/MgO - heterogeneous base,heterogeneous base,93.9
mutton fat,animal fat,0.9315,3.2,22,4,65,0.3,KOH/MgO - heterogeneous base,heterogeneous base,98
soybean oil,edible oil,0.92,60,7.5,3,60,1,sodium silicate - heterogeneous base,heterogeneous base,100
neem oil,non edible oil,0.91,40,9,1,65,2,sulfated zirconia - heterogeneous acid,heterogeneous acid,95
canola oil,edible oil,0.92,31,36,6,70,5,K/TiO2,heterogeneous acid-base,100
sunflower oil,edible oil,0.92,60,12,10,115.5,2.5,WO3/Zr MCM-41,heterogeneous acid-base,79.7
waste cooking palm oil,waste cooking oil,0.92,45,29,2.7,115.4,1.2,Sr/ZrO2,heterogeneous acid-base,79.7
sunflower oil,edible oil,0.92,60,12,1,140,5,MnCeOx,heterogeneous acid-base,86
brown grease,grease,0.97,3000,10,2,42,4,AlCl3.6H2O,heterogeneous acid,90
Oleic acid-soybean oil,edible oil,0.926,50,20,3,200,10,CsHPW,heterogeneous acid,91
crude palm oil,edible oil,0.8875,77.19,20,6,140,2,Ar-SBA-15,heterogeneous acid,90
dodecanoic acid,edible oil,0.835,7.9,3,3,180,1,sulphate ZrO2,heterogeneous acid,96
pure triolein,edible oil,0.9078,54.6,10,4,50,4,anion-cation exchange resin,heterogeneous acid,99
soyabean oil,edible oil,0.92,60,5,0.5,60,1,modernite zeolite,heterogeneous acid,80
soyabean oil,edible oil,0.92,60,5,0.5,60,1,H-type fauzasite zeolites,heterogeneous acid,75
soyabean oil,edible oil,0.92,60,5,0.5,60,1,H+ ion exchanged ZSM-5,heterogeneous acid,80
jatropha oil,edible oil,0.92,37,50,6,160,8,MPD-SO3H-IL,heterogeneous acid,94
acid oil,edible oil,0.95,225,15,4,100,8,SiO2-Pr-SO3H,heterogeneous acid,97
macaw palm oil,edible oil,0.88,5.9,90,20,210,4,H3PMo12O40(HPMo) supported on niobia,heterogeneous acid,99
refined vegetable oil,edible oil,0.92,42.5,250,0.06,200,1,MgO,heterogeneous base,98
soybean oil,edible oil,0.92,60,12,5,65,0.5,Sr/MgO,heterogeneous base,93
chinese tallow kernel oil,edible oil,0.92,25,8,3,67,3,KNO3/MgO,heterogeneous base,94
waste cooking oil,waste cooking oil,0.92,67,50,10,170,6,TiO2-MgO,heterogeneous base,91.6
soybean oil,edible oil,0.92,60,20,3,150,6,MgO-ZrO2 nanomaterials(pore size 1-2),heterogeneous base,99
soybean oil,edible oil,0.92,60,12,30,100,6,MgO-Li2O,heterogeneous base,96.2
canola oil,edible oil,0.92,31,12.3,9.03,65,3.26,KOH/ZSM-5-Fe3O4,heterogeneous base,93.65
soybean oil,edible oil,0.92,60,10,5,65,3,K/ZrO2/y-Fe2O3,heterogeneous acid-base,93
sunflower oil,edible oil,0.92,60,6,0.25,60,0.5,CuO/Mg,heterogeneous base,82.83
goat fat,animal fat,0.915,115,12,1,70,3,CaO,heterogeneous base,93.72
chicken oil,animal fat,0.9,250,9,1,65,5,CaO,heterogeneous base,94.4
lard oil,animal fat,0.92,75,5.5,0.9,50,0.75,Sr-Al double oxides,heterogeneous base,99.7
chicken fat,animal fat,0.9,250,24,2,65,4,MgO / Na2O,heterogeneous base,95.22
tallow oil,animal fat,0.94,300,12,3,60,1,Cs/Al/Fe3O4,heterogeneous base,97
tannery waste,animal fat,1.1,25,12,6,65,5,Fe-Mn-SO4/ZrO2,heterogeneous base,96.6
